cost_code,equipment,manufacturer,specification,capacity,hp,notes,unit,rate
8435,"Paver, Asphalt",Caterpillar AP 1000 Wheel,"Paving Range with SE60 FM 3 m - 7.8 m (10' - 25' 6"") Operating weight with SE60 FM 42620 lb Maximum Throughput Capacity 1766 ton(US)/h",,225,,Hour,295.49
8436,"Pickup, Asphalt",Cadarapids CR-MS-4 (disc. 2020),,,to 120,Includes bucket.,Hour,135.8
8437,"Pickup, Asphalt",Cedarapids CR MS-2,,,to 120,Includes bucket.,Hour,193.47
8438,"Pickup, Asphalt",Blaw Knox MC330 (disc. 2007),,,184 to 200,Includes bucket.,Hour,303.18
8439,"Pickup, Asphalt",Roadtec MTV-1000C,,MTV 1000C,to 275,Includes bucket.,Hour,472.05
8440,"Striper, Self Propelled",Graco LineLazer 3400 Airless Line Striper,Single Bucket,15 Gallon Bucket,to 5,Includes bucket.,Hour,14.75
8441,"Striper, Self Propelled","Graco LineLazer V 200DC Standard Line Striper, Dua",Dual Bucket,2x10 Gallon Buckets,to 6.5,Includes bucket.,Hour,23.62
8442,"Striper, Self Propelled",Graco LineLazer V 250DC,Dual Bucket,2x25 Gallon Buckets,to 13,Includes bucket.,Hour,45.28
8445,"Striper, Truck Mounted","Graco RoadLazer RoadPak HD System, Option HD3: 2-Pump, 1350 lb Bead Tank","1,350-pound bead tank","1,350-pound bead tank",to 19,Includes bucket.,Hour,43.79
8447,Paver Accessory - Belt Extension,Miscellaneous 30 X 60',"30"" x 60'","30"" x 60'",N/A,Includes bucket.,Hour,28.48
8450,"Plow, Snow, Mounted Grader",VP-10 - Grader Snow Removal Equipment,126 in (10.5-FT),to 10 Ft,N/A,8331 Grader not included,Hour,19.69
8451,"Plow, Snow, Mounted Grader",SW-14 - Grader Snow Removal Equipment,168 in (14-FT),to 14 Ft,N/A,8332 Grader not included,Hour,23.66
8452,"Plow, Truck Mounted",One Way Plow,13 Ft,to 15 Ft,N/A,8722 truck not included,Hour,13.8
8453,"Plow, Truck Mounted",V-Plow R11 Leveling Wing,11 Ft,to 15 Ft,N/A,With leveling wing. Include 8722 truck for total cost,Hour,29.92
8455,"Spreader, Sand",TAILGATE,"Tailgate, Chassis mounted","Tailgate, Chassis",PTO,Truck not included,Hour,5.6
8456,"Spreader, Sand",DUMP BODY,Dump Body mounted,Dump Body,PTO,Truck not included,Hour,7.73
8457,"Spreader, Sand",TRUCK MNT,"Truck Mounted, (10yd)",Truck (10yd),N/A,Truck not included,Hour,10.47
8458,"Spreader, Chemical",Miscellaneous 5 Spreader,5.0 cu yd,5 CY,to 4,Trailer & truck mounted.,Hour,6.47
8465,"Pump, Trash Pump","6"" Diesel Trash Pump Trailer Mount",6 In Pump,6 In Pump,to 23,"High flow trash pump delivers up to 59,400GPH",Hour,56.67
8466,"Pump, Trash Pump","4"" Diesel powered Trash Pump",4 In Pump,4 In Pump,to15,"High flow trash pump delivers up to 37,200GPH",Hour,27.38
8467,"Pump, Trash Pump","3"" Diesel powered Trash Pump",3 In Pump,3 In Pump,to 5,"High flow trash pump delivers up to 18,000GPH",Hour,13.06
8468,"Pump, Trash Pump","2"" Diesel powered Trash Pump",2 In Pump,2 In Pump,to 5,"High flow trash pump delivers up to 12,000GPH",Hour,9.31
8469,Pump - Stormwater Custom,Catepillar/Lufkin/Fairbanks-Morse,1740 CFS,,5400,,Hour,1743.1
8470,"Pump, Lightweight Centrifugal",6M Alum./PORT.,1.5 In pump,"2 In pump - 10,000 gal/hr.",to 4.5,"6,500 gph, Hoses not included.",Hour,3.1
8471,"Pump, Lightweight Centrifugal",8M Alum./PORT.,2 In Pump,"2 In Pump - 3,000 gal/hr.",to 6,"3,000 gph, Hoses not included.",Hour,3.09
8472,"Pump, Lightweight Centrifugal",18M ALUM./PORT.,3 In Pump,"3 In Pump - 18,000 gal/hr.",to 10,"18,000 gph, Hoses not included.",Hour,2.43
8473,"Pump, Heavy Duty Centrifugal",20M GASOLINE ELECTRIC START,3 In Pump,,15,,Hour,9.18
8474,"Pump, Electric Submersible",Miscellaneous 4 Three Phase 25 HP,4 In Pump,4 In Pump,to 25,Hoses not included.,Hour,8.2
8475,"Pump, Electric Submersible",Miscellaneous 6 Three Phase 35 HP,6 In Pump,,,,Hour,18.43
8476,"Pump, Centrifugal",40M GASOLINE ELECTRIC START,4 In Pump,4 In Pump,to 60,"40,000 gph, Hoses not included.",Hour,25.62
8477,"Pump, Centrifugal",90M GASOLINE ELECTRIC START Pump,6 In Pump,6 In Pump,to 95,"90,000 gph, Hoses not included.",Hour,33.54
8478,"Pump, Centrifugal",350M DIESEL ELECTRIC START Pump,12 In Pump,12 In Pump,to 140,"350,000 gph, Hoses not included.",Hour,34.82
8486,"Aerial Lift, Truck Mounted",2024 ALTEC AA55 MOUNTED ON 2024 FREIGHTLINER BUSINESS CLASS M2 106,Ground to Bottom of Platform*: 55.1 ft (16.8 m) Maximum Side Reach: 43.1 ft (13.1 m) Boom Articulation (Lower Boom): 0 to 120 Rotation: Continuous,55 FT,,Including Truck,Hour,62.86
8487,"Aerial Lift, Truck Mounted",2024 ALTEC AH85B MOUNTED ON 2024 FREIGHTLINER BUSINESS CLASS M2 106,Ground to Bottom of Platform*: 80 ft (24.4 m) Maximum Side Reach: 48 ft (14.6 m) Boom Articulation (Lower Boom): 0 to 95 Rotation: Continuous,80 FT,,Including Truck,Hour,65.87
8488,"Aerial Lift, Truck Mounted",2018 ALTEC AN67-E100 MOUNTED ON 2018 INTERNATIONAL WORKSTAR 7400,Ground to Bottom of Platform* 100 ft (30.5 m) Maximum Side Reach:52.7 ft (16.1 m) Boom Articulation (Lower Boom): 0 to 120 Rotation: Continuous,100 FT,,Including Truck,Hour,68.03
8489,"Aerial Lift, Truck Mounted",2018 ALTEC AH125 MOUNTED ON 2018 FREIGHTLINER BUSINESS CLASS M2 112,Ground to Bottom of Platform*: 120 ft (36.6 m) Maximum Side Reach: 50.4 ft (15.4 m) Boom Articulation (Lower Boom): 0 to 87 Rotation: ContinuousRotation: Continuous,120 FT,,Including Truck,Hour,78.43
8490,"Aerial Lift, Self Propelled",JLG 340AJ Articulating Boom Lift,Horizontal Outreach:19 ft 11 in Platform Capacity Unrestricted:500 lb Max Platform Height:33 ft 10 in,33 FT,25,,Hour,38.27
8491,"Aerial Lift, Self Propelled",JLG 450AJ HC3 Articulating Boom Lift,"Horizontal Outreach: 25 ft 0 in Max Platform Capacity: 1,000 lb Max Platform Height: 45 ft 0 in",45 FT,60,,Hour,48.28
8492,"Aerial Lift, Self Propelled",JLG 600AJ HC3 Articulating Boom Lift,"Horizontal Outreach: 40 ft 6 in Max Platform Capacity: 1,000 lb Max Platform Height: 60 ft 0 in",60 FT,84,,Hour,59.1
8493,"Aerial Lift, Self Propelled",JLG 800AJ HC3 Articulating Boom Lift,"Horizontal Outreach: 52 ft 3 in Max Platform Capacity: 1,000 lb Max Platform Height: 80 ft 4 in",80 FT,84,,Hour,65.19
8494,"Aerial Lift, Self Propelled",JLG 1250AJP Articulating Boom Lift,"Horizontal Outreach: 63 ft 2 in Max Platform Capacity: 1,000 lb Max Platform Height: 125 ft 8 in",125 FT,75,,Hour,151.13
8495,"Aerial Lift, Self Propelled",JLG 1500AJP Articulating Boom Lift,"Horizontal Outreach: 75 ft 0 in Max Platform Capacity: 1,000 lb Max Platform Height: 150 ft 0 in",150 FT,100,,Hour,176.48
8496,"Crane, Truck Mounted",2025 MANITEX 1970C MOUNTED ON 2025 PETERBILT 537,"19,000 LBS","19,000 LBS",to 240,,Hour,48.09
8497,"Crane, Truck Mounted",2024 MANITEX 2281T MOUNTED ON 2024 PETERBILT 567,"46,000 LBS","46,000 LBS",to 510,,Hour,53.07
8498,"Crane, Truck Mounted",2024 MANITEX 30100C MOUNTED ON 2024 PETERBILT 548,"60,000 LBS","60,000 LBS",to 510,,Hour,83.67
8500,"Crane, Yard",2013 SHUTTLELIFT CD5520,20 ton capacity,20 ton capacity,to 100,,Hour,113.69
8501,"Crane, Rough Terrain",Broderson RT-300-2C,29983 lbs/15 tons,,155,,Hour,293.14
8502,"Crane, All Terrain",2007 GROVE GMK2035E,69886 lbs/34.9 tons,,157,,Hour,226.1
8503,"Crane, All Terrain",2006 GROVE GMK3055,119931 lbs/60 tons,,349,,Hour,285.76
8504,"Crane, Crawler Mounted Lattice Boom",American HC-125 (disc. 2004),250004 lbs/125 tons,,245,,Hour,338.94
8510,"Saw, Concrete",Miscellaneous 4.6-14MC,14 In,14 In,to 14,,Hour,12.69
8511,"Saw, Concrete",Diamond CC6571D DIESEL LIQUID COOLED WALK BEHIND SAW,Interchangable Blade,14 to 42 IN,to 71,,Hour,27.6
8512,"Saw, Concrete",Diamond CC9074DK Deep Cut Saw,60 IN,60 IN,to 74,,Hour,50.69
8514,"Chain Trencher, Wheel Mounted",Vermeer V120,60 in depth,31 in depth,to 116,60 in depth. Now saved in EW as V120.,Hour,286.18
8517,Jackhammer (dry),Miscellaneous 25DRY,25 lbs,25,Air,Pneumatic Powered,Hour,1.64
8518,Jackhammer (wet),Miscellaneous 30WET,30 lbs,30,Air,Pneumatic Powered,Hour,1.68
8521,Scraper,Caterpillar 631 (2019),34 yard,,to 570,Includes bucket.,Hour,341.78
8522,Scraper,Caterpillar 651,44 yard,,to 629,Includes bucket.,Hour,504.75
8524,Scraper,Caterpillar 621 (2012),24 yard,,to 407,Includes bucket.,Hour,221.18
8540,"Loader, Skid Steer",Bobcat S70,,,to 24,Includes bucket.,Hour,31.06
8541,"Loader, Skid Steer",Bobcat S76,,,to 74,Includes bucket.,Hour,45.23
8542,"Loader, Skid Steer",Bobcat S86,,,to 105,Includes bucket.,Hour,60.67
8549,"Snow Plower, Salt Spreader",Henderson FSH-I Spreader,8.9 CY,8.9 CY,3.5,Includes bucket.,Hour,16.96
8550,"Snow Blower, Truck / loader Mounted",WAUSAU SNOGO LR-44,114 in Cutting Width,114 in Cutting Width,325,,Hour,83.95
8551,"Snow Blower, Truck Mounted",WAUSAU SNOGO 2000,102 in Cutting Width,102 in Cutting Width,218,,Hour,111.34
8552,"Snow Blower, Truck Mounted",WAUSAU SNOGO 3000,114 in Cutting Width,114 in Cutting Width,300,,Hour,136.98
8553,"Snow Blower, Truck Mounted",WAUSAU SNOGO 4000,120 in Cutting Width,120 in Cutting Width,400,,Hour,162.44
8558,"Snow Thrower, Walk Behind",Toro Power Max 826 OE (37780),40 ft throwing distance,,5,Includes bucket.,Hour,3.69
8559,"Snow Thrower, Walk Behind",Toro 74523 MultiForce 60-in Blower,,,TO 25,,Hour,16.79
8559.1,SnowBroom,1995 Oshkosh H-2518 Airport Runway Sweeper with 18' MB sweeper head,,,450-500,,Hour,246.37
8560,"Snow Blower, Self Propelled",RPM Tech TM36R Self-Propelled Snow Blower,"3,500 Ton / hr","3,500 Ton / hr",to 385,,Hour,189.9
8561,"Snow Blower, Self Propelled",RPM Tech TM42R Self-Propelled Snow Blower,"4,800 Ton / hr","4,800 Ton / hr",to 450,,Hour,171.31
8561.1,Snow Blower,MTE Snow Mauler,,,,,Hour,317.59
8561.2,Snow Blower,Vammas PSB 4500MTE,,,,,Hour,331.33
8563,The Vammas 4500,Snow Remover,Working width 4.5 m,,385,Includes bucket.,Hour,298.64
8564,The Vammas 5500,Snow Remover,Working width 5.5 m,,460,Includes bucket.,Hour,328.24
8565,Oshkosh Pavement Sweeper,2005 Oshkosh H-Series Runway Broom (Model HB-2723),,,420,Includes bucket.,Hour,245.82
8569,Dust Control De-ice Unit,Hydro Pump with 100-ft of 1/2-in hose,,,,,Hour,4.69
8572,"Loader-Backhoe, Wheel",CAT Center-Pivot Backhoe Loader 420,Net Power - SAE J1349 92 HP (68 kW) / 103 HP (76 kW) Dig Depth - Standard 14 ft Operating Weight - Maximum 24251 lb,14 FT,103,,Hour,110.03
8573,"Loader-Backhoe, Wheel",CAT Center-Pivot Backhoe Loader 450,Net Power - SAE J1349:2011 131 hp Dig Depth - Standard 17 ft Operating Weight - Maximum 29321 lb,17 FT,131,,Hour,128.68
8580,"Distributor, Asphalt",2008 LEEBOY L500,550 gal,550 gal,16,,Hour,14.97
8581,"Distributor, Asphalt",Miscellaneous 1000G,1000-gal,1000-gal,38,,Hour,33.08
8582,"Distributor, Asphalt",Miscellaneous 2000G,2000-gal,2000-gal,,PTO,Hour,32.92
8583,"Distributor, Asphalt",Miscellaneous 4000G,4000-gal,4000-gal,,PTO,Hour,58.07
8584,Distributor,Etnyre Chip Spreader,13-FT,13-FT,to 210,,Hour,129.06
8590,"Trailer, Rear Dump","25DU-20 BIG TEX 20? DUMP TRAILER 13 TON 25,000 GVWR 8 20",23.7 CY Dump Trailer,,N/A,,Hour,9.0
8591,"Trailer, Rear Dump",2016 East EAST MANUFACTURING CORP End Dump Trailer,30 CY Dump Trailer,,N/A,,Hour,17.18
8600,"Trailer, Equipment",2025 Big Tex Trailers 16TL Super Duty Tilt Bed Equipment Trailer,"Width: 83"" Length: 20', 22' GVWR: 17,500 lbs Cargo Capacity: 12,560 13,420 lbs",,,,Hour,13.61
8601,"Trailer, Equipment",Kaufman Trailers tri-axle,"30 FT, 62,000 GVWR",,,,Hour,15.8
8602,"Trailer, Equipment",Miscellaneous DROP 3 60,60 ton,,N/A,,Hour,21.05
8603,"Trailer, Equipment",Miscellaneous FLUSH 4 120,120 ton,,N/A,,Hour,33.95
8610,"Trailer, Water",Miscellaneous 1200 4000,4000 gallon,,N/A,,Hour,17.09
8611,"Trailer, Water",Miscellaneous 1200 6000,6000 gallon,,N/A,,Hour,24.45
8612,"Trailer, Water",Miscellaneous 1500 10000,10000 gallon,,N/A,,Hour,30.77
8613,"Trailer, Water",Miscellaneous 1500 14000,14000 gallon,,N/A,,Hour,37.74
8614,Truck - Water Tanker,FREIGHTLINER BUSINESS CLASS M2 106 PLUS,4000 galon tank,,to 300,,Hour,45.16
8621,Tub Grinder,Morbark 1000 Tub Grinder,up to 40 ton per hour,,to 577,,Hour,165.82
8622,Tub Grinder,Morbark 1300 Tub Grinder,up to 80 ton per hour,,to 1050,,Hour,249.83
8623,Tub Grinder,Morbark 1600 Tub Grinder,up to 190 ton per hour,,to 1200,,Hour,352.95
8627,Horizontal Grinder,Vermeer HG6000 Horizontal Grinder,,,630,,Hour,96.28
8628,Stump Grinder,2021 Vermeer SC852,23 IN Cutterwheel Diameter,,74,,Hour,55.28
8629,Stump Grinder,2024 Vermeer SC1052,26 IN Cutterwheel Diameter,,115,,Hour,56.33
8630,"Sprayer, Seed","Reinco HG-5-HA, Trailer Mounted",,,20,,Hour,10.07
8631,"Sprayer, Seed","Reinco HG-10GXA2, Trailer Mounted",,,35,Single Drum,Hour,22.28
8632,"Sprayer, Seed","Reinco HG-30GX, Truck Mounted",,,115,,Hour,50.34
8633,"Mulcher, Trailer Mntd",Finn B70,,,33.5,,Hour,22.32
8634,"Mulcher, Trailer Mntd",Reinco M65,,,54,,Hour,27.99
8635,"Mulcher, Trailer Mntd",Reinco M90,,,115,,Hour,41.38
8636,Scraper,Wirtgen WR2400,,,563,,Hour,492.02
8637,Trailer (Off Highway Bottom Dump),Load King 2842,28.0 cu yd,,,,Hour,25.3
8638,Rake,Barber Beach Sand Rake 600HD,15 feet (5m),,,,Hour,18.73
8639,Chipper,Wildcat 626 Cougar,,,,,Hour,42.44
8640,"Trailer, Office",Miscellaneous 8X24,,,,,Hour,1.99
8641,"Trailer, Office",7 12 Office Trailer,,,,,Hour,2.43
8642,"Trailer, Office",20? Mobile Office Command Trailer w/ AC/Heat (Bathroom Optional),,,,,Hour,14.9
8644,"Trailer, Covered Utility Trailer",7-ft x 16-ft,,,,,Hour,6.29
8645,"Trailer, Shower",12 Station Portable Restrooms Trailer | Luxury Series,,,,,Hour,44.99
8650,Trencher,Seaman-Parsons T20,,,20,,Hour,49.22
8651,Trencher,Seaman-Parsons T500,,,58,,Hour,72.37
8652,Trencher/Ditcher,New Holland B115B (disc. 2012),1.5CY,1.5CY,108,,Hour,73.5
8653,Trencher/Ditcher,New Holland T8.330 (disc. 2014),,,284,,Hour,151.12
8654,Trench Burner,Through-Pu average 10 to 12 Tons per hour,McPherson Systems air curtain destructor,nozzle length- 30 foot.,75,,Hour,20.79
8660,"Plow, Cable",Case MAXI-SNEAKER C (disc. 2003),24-in,24-in,33.5,,Hour,18.74
8661,"Plow, Cable",Seaman-Parsons DP-60,18-in,18-in,82,,Hour,57.52
8662,"Plow, Cable",Seaman-Parsons DP-100,42-in,42-in,110,,Hour,64.42
8670,"Derrick, Hydraulic Digger",Miscellaneous 60/12- Hydraulic Digger Derricks,,,,,Hour,27.09
8671,"Derrick, Hydraulic Digger",Miscellaneous 990/14 - Hydraulic Digger Derricks,,,,,Hour,47.61
8672,Movax SP-60,28-32 ton Head,,,178,,Hour,134.98
8673,"Truck, Concrete Mixer",Mixer Capacity = 13 cy,13-CY,13-CY,285.0,"Saved in EW as 8680-1. Somehow was changed from Truck, Fire Aerial Platform to concrete mixer.",Hour,93.46
8680,"Truck, Fire, Engine Type 1",KME K-180 Side Mount Pumper,"Waterous CSU 1500 GPM FRC InControl Pressure Governor 1000 Gallons Water 20 Gallons Foam Pre-Connects: (2) 1-3/4 Crosslays, (1) 2-1/2 Crosslay and 1-1/2 Front Trashline Discharges: (1) 2-1/2 Left, Right and Rear, (1) LDH Discharge right, Deck Gun TFT Extenda-Gun on Deluge Riser UPF Water Tank",Pump GPM:1500 Tank Size:1000 GA,to 500,,Hour,162.44
8681,"Truck, Fire, Engine Type 2",Freightliner,"Hale QMAX 1500 GPM Top-Mount Pump 1500 Gallon Polypropylene Tank Driver's Side Discharges: (2) 2 1/2"" Front Discharges: (1) 2"" Crosslays/Speedlays: Crosslays: (2) 1 3/4"" Officer's Side Discharge: (2) 2 1/2"" Rear Discharges: (1) 2 1/2"" Driver's Side Suction: (1) 2 1/2"", (1) 6"" Officer's Side Suction: (1) 2 1/2"", (1) 6"" Deck Gun Included",Pump GPM:1500 Tank Size:1500 GA,350,,Hour,115.72
8682,"Truck, Fire, Engine Type 3",Freightliner,,Pump GPM:500 Tank Size:500 GA,350,,Hour,90.66
8683,"Truck, Fire, Engine Type 4",International,,Pump GPM:50-250 Tank Size:800 GA,350,,Hour,81.58
8684,"Truck, Fire, Type 5, 6 & 7",2025 RAM 5500 4 4 Dodge Wildland 4 Door Commercial Cummins 6.7L Diesel Engine Aisin AS69RC Automatic Transmission TOMAR Scorpion full integrated scene/emergency lights,Pump & Tank Hale HPX200 160 GPM Pump 450 Gallon Tank 12 Gallon Foam Cell,Pump GPM:160 Tank Size:450 GA,350,,Hour,82.87
8685,"Truck, Fire, Aerial Ladder",107' Heavy-Duty Aerial Ladder,"Flow Capacity 1,500 gpm Hosebed Capacity 1,000' of 5"" or split load 700' of 5"" & 600' of 3"" hose Ladder Complement Minimum of 115' Ladder Reach 107' Vertical / 100' Horizontal Operating Range -10 to 77 Payload Capacity 750 lb dry / 500 lb wet Pump Range Waterous, Hale, Darley Midship, PTO Tank Up to 500 gallons Wind or Ice Ratings Up to 50 mph winds and 1/4"" of ice",,500,,Hour,260.51
8686,"Truck, Fire, Aerial Platform",110' Heavy-Duty Aerial Platform,"Flow Capacity 1,250 gpm (4,732 L/m) Hosebed Capacity 1,000' (304.8m) of 5"" (12.7cm) or split load 700' (213.4m) of 5"" (12.7cm) & 600' (182.9m) of 3"" (7.6cm) hose Ladder Complement Minimum of 115' (35.1m) Ladder Reach 110' (33.5m) Vertical / 90' (27.4m) Horizontal Operating Range -10 to 77 Payload Capacity 750 lb dry / 500 lb wet (340kg dry/227kg wet) Pump Range Waterous, Hale, Darley Midship, PTO Tank Up to 500 gallons (1,892L) Wind or Ice Ratings Up to 35 mph (56 km/h) winds and .25"" (.64cm) of ice",,500,,Hour,346.39
8687,"Truck, Fire, Articulating Boom",55' or 61' reach (16.76m or 18.59m),"Flow Capacity 1,000 gpm (3,785 L/m) Hosebed Capacity Varies depending on configuration Ladder Complement Minimum of 48' Ladder Reach 55' or 61' (16.76m or 18.59m) Vertical / 45'5"" or 51' (13.84m or 15.55m) Horizontal Operating Range -5 to 85 Payload Capacity 500 lb dry / 250 lb wet Pump Range Waterous, Hale, Darley Midship, PTO Tank Varies depending on configuration Wind or Ice Ratings Up to 20 mph (32km/hr) winds and 1/4"" (.64cm) of ice",,500,,Hour,260.51
8688,"Truck, Fire, Tractor Ladder",107' Heavy-Duty Tiller Aerial Ladder,"Flow Capacity 1,500 gpm Hosebed Capacity 1,000' of 5"" Ladder Complement Up to 250' (depending on configuration) Ladder Reach 107' Vertical / 100' Horizontal Operating Range -10 to 77 Payload Capacity 750 lb dry / 500 lb wet Pump Range Waterous, Hale, Darley Midship, PTO Tank Up to 300 gallons Wind or Ice Ratings Up to 50 mph winds and 1/4"" of ice",,500,,Hour,289.13
8689,"Truck, Fire, Support Water Tender S1","International HV 613 with an International A-26 engine, 450 HP, and 1750 lb.ft of torque.",,Tank Min Capacity (Gal): 4000 Pump Min Flow (GPM): 300 PSI: 50 Max Refill Time (Mins): 30,450,,Hour,116.08
8690,"Truck, Fire, Support Water Tender S2","F-L M2 106, 360EV HP, 2 Door, Single Axl",,Tank Min Capacity (Gal): 2500 Pump Min Flow (GPM): 200 PSI: 50 Max Refill Time (Mins): 20,360,,Hour,99.79
8691,"Truck, Fire, Support Water Tender S3","F-L M2 106, 360EV HP, 2 Door, Single Axl",,Tank Min Capacity (Gal): 1000 Pump Min Flow (GPM): 200 PSI: 50 Max Refill Time (Mins): 15,360,,Hour,107.7
8692,"Truck, Fire, Tactical Water Tender T1",INTL HV 507 SFA,,Tank Min Capacity (Gal): 2000 Pump Min Flow (GPM): 250 PSI: 150,350,,Hour,98.04
8693,"Truck, Fire, Tactical Water Tender T2",INTL HV 507 SFA,,Tank Min Capacity (Gal): 1000 Pump Min Flow (GPM): 250 PSI: 150,350,,Hour,97.76
8700,"Truck, Flatbed",Miscellaneous 4X2 15KGVW DSL,,,200,,Hour,33.37
8701,"Truck, Flatbed",Miscellaneous 4X2 25KGVW GAS,,,275,,Hour,50.9
8701.1,"Truck, Flatbed",Miscellaneous 4X2 25KGVW DSL,,,200,,Hour,33.69
8702,"Truck, Flatbed",Miscellaneous 4X2 30KGVW DSL,,,217,,Hour,43.0
8703,"Truck, Flatbed",Miscellaneous 6X4 45KGVW DSL,,,380,,Hour,65.09
8708,"Trailer, semi",48ft spread axle flatbed,,,,,Hour,10.38
8709,"Trailer, semi","Enclosed 48ft, 2 axle trailer",,,,,Hour,11.57
8710,"Trailer, semi",,,,,,Hour,11.17
8711,Flat bed utility trailer,Non-Tilt Deck Utility Trailers - TOW 2 1 6,,,NA,,Hour,2.88
8711.1,Sewer Camera Inspection Truck,"2005 FORD Sewer Inspection Trucks, Reefer/Refrigerated Truck, Cutaway-Cube Van - E450",,,,,Hour,16.71
8711.2,Sewer Inspection Camera,"Aries Pathfinder System Control Center, Work Station",,,,,Hour,98.03
8712,"Cleaner, Sewer/Catch Basin",Mongoose Jetters Model 123 Sewer Jetter (12 GPM @ 3000 PSI),"Pump: 12 GPM @ 3000 PSI Tank Capacity: 150 Gallons Engine: 24 hp 690 cc Gas Hose Reel: 3/8"" Hose, 250' Capacity Axle: 3,500lbs (single axle trailer)",Pump: 12 GPM @ 3000 PSI Tank Capacity: 150 Gallons,24,,Hour,19.58
8713,"Cleaner, Sewer/Catch Basin",Mongoose Jetters Model 254 Sewer Jetter (25 GPM @ 4000 PSI),"Tank Capacity: 300-600 gallons Pump: 25 GPM @ 4000 PSI Engine: 74hp Tier IV Turbo Diesel Engine Hose Reel: 5/8"" Hose, 500' Capacity Axle: 7,000lbs",Pump: 25 GPM @ 4000 PSI Tank Capacity: 300-600 gallons,74,,Hour,25.32
8714,Combined Sewer Cleaning,Vacuum Truck 800 Gal Spoils/400 Gal Water,,,74,,Hour,29.07
8714.1,Vector Combine Vaccum Truck,"2014 International 7500 Vactor 2100 Plus Hydro Excavation Vacuum Truck,","12 CY Debris Tank 8"" Suction Hose","13 CY Debris Tank 8"" Suction Hose",310,,Hour,99.66
8714.2,Combined Sewer Cleaning,,1500 gal Water,1500 gal Water,N/A,,Hour,23.75
8714.3,Combined Sewer Cleaning,,500-1500 gals,500-1500 gals,N/A,,Hour,16.44
8714.4,Combined Sewer Cleaning (Accessory,Miscellaneous SH-4/25,4-IN,4-IN,,50-FT of 4-IN hoses @$0.60/Hour for Vac Truck,Hour,0.27
8715,"Truck, Hydro Vac",500-gal debris tank;,,,N/A,,Hour,21.27
8716,Leaf Vac,XtremeVac DCL800SM Series Leaf Loader Truck Mounted,"Aux Engine is a 74 HP John Deere T4F Diesel Engine. Engine Remote Oil Drain. DCL Bottom Exhaust for Box. Wireless CAN Bridge Between Cab and HL Body. 28"" Suction Impeller with (6) 3/8"" Thick T-1 Steel Blades, 3 Groove Power Band Belt Driven, 40 Gallon Poly Fuel Tank. Electronic Engine Controls with Safety Shut Downs. 13"" Clutch Assembly with 2.25"" PTO Shaft and Safety Engagement. 16"" x 144"" Urethane Suction Hose with Steel Nozzle. 1/4"" Thick Skid Deck with Channel Members on Ends.",25 CY,N/A,2024 ODB DCL800SM25HL,Hour,64.6
8719,Litter Picker,Miscellaneous TRAC MOUNT ENG DRIV,Broom Length 72.0 in,,18,,Hour,8.27
8720,"Truck, Dump",2026 FREIGHTLINER BUSINESS CLASS M2 106,7-CY,7-CY,330,,Hour,55.28
8721,"Truck, Dump",2026 FREIGHTLINER BUSINESS CLASS M2 106,9-CY,9-CY,350,,Hour,100.63
8722,"Truck, Dump",2025 FREIGHTLINER BUSINESS CLASS M2 106 PLUS,12-CY,12-CY,350,,Hour,120.74
8723,"Truck, Dump",2025 FREIGHTLINER 108SD,14-CY,14-CY,470,,Hour,122.94
8724,"Truck, Dump",2025 FREIGHTLINER 114SD PLUS,18 CY,18 CY,525,,Hour,147.99
8730,"Truck, Garbage",,,,255,,Hour,62.97
8731,"Truck, Garbage",,,,325,,Hour,69.44
8733,E=BAM Services,,,,,,Hour,3.6
8734,"Attentuator, Safety",Scorpion II TMA Truck Mounted Attenuator,"Weight1,975 lbs (900kg)LengthTravel/Storage 2' 5"" (.74 m)Deployed 12' 10"" (3.93 m)Width8' (2.45 m)HeightTravel/Storage 10' 6"" (3.05 m)Deployed 12"" 1"" (305 mm 24.4 mm)",,,,Hour,4.53
8735,"Truck, Attenuator",2025 MACK MD6,"2025 Mack MD64 with Curry Supply Crash Attenuator Body. Truck equipped with Cummins ISB6.7 300HP, Allison 2500 RDS Automatic 6speed Transmission.",,300,,Hour,4.9
8736,"Truck, Tow","FREIGHTLINER Rollback Tow Truck, Roll Off Truck, Flatbed Truck - BUSINESS CLASS M2 106","FLOOR CAPACITY 20,000LBS WINCH CAPACITY 15,000LBS TOW BAR LIFT 8,000LBS","GVW TOTAL 33,000LBS",350,,Hour,51.83
8744,"Van, Custom",2025 Sprinter Cab Chassis,"Payload Capacity:6,345 to 7,418 lbs Seating Capacity:2-3 Max Available GVWR:11,030 lbs Base Curb Weight:4,685 lbs Max Available GCWR:15,249 lbs Max Towing:7,500 lbs [1]",Wheelbase:170 in,211,,Hour,33.29
8745,Van. Cargo,2025 Sprinter Cargo Van,"Payload Capacity:6,250 lbs Seating Capacity:2-3 Cargo Volume:469 cu ft Max Available GVWR:12,125 lbs Max Towing:7,500 lbs","170"" Extended Wheelbase High Roof",211,,Hour,35.13
8747,"Van, Passenger",2025 Sprinter Passenger Van,"Payload Capacity:3,109 lbs Seating Capacity:15 Cargo Volume:117 cu ft Max Available GVWR:9,480 lbs",15 Passenger,211,,Hour,27.9
